velikost_m2,leto_izgradnje,tip,cena_€
,,,"535.000,00"
"103,2",2025,3-sobno,"535.000,00"
"90,5",1956,4-sobno,"330.000,00"
120,2026,4-sobno,"790.000,00"
83,2024,3-sobno,"590.000,00"
"134,3",2024,4-sobno,"740.300,00"
"161,66",2024,4-sobno,"821.200,00"
210,2024,4-sobno,"1.388.000,00"
205,1997,,"1.180.000,00"
"55,3",1961,3-sobno,"312.000,00"
190,2024,penthouse,"870.000,00"
"48,1",2005,2-sobno,"344.000,00"
"54,1",1896,2-sobno,"349.000,00"
"99,8",1850,3-sobno,"606.000,00"
"43,7",1899,2-sobno,"260.000,00"
238,2006,penthouse,"1.090.000,00"
"74,6",1968,3-sobno,"400.000,00"
"132,65",2021,4-sobno,"922.000,00"
"169,3",2028,3-sobno,"822.000,00"
"67,5",2026,3-sobno,"528.471,00"
"151,7",2026,3-sobno,"581.157,00"
"79,7",2028,4-sobno,"459.000,00"
"80,2",2028,4-sobno,"430.500,00"
"86,7",2028,4-sobno,"472.500,00"
"155,6",2028,4-sobno,"577.500,00"
"64,3",1935,3-sobno,"315.000,00"
,,,"165.000,00"
"41,7",1958,2-sobno,"165.000,00"
42,1927,1-sobno,"253.000,00"
"26,3",1995,garsonjera,"199.000,00"
"31,7",1938,5-sobno,"175.000,00"
"127,9",2027,3-sobno,"495.000,00"
"201,5",2011,4-sobno,"1.160.000,00"
"201,5",2011,4-sobno,"1.160.000,00"
"238,5",2011,4-sobno,"1.160.000,00"
186,2002,4-sobno,"890.000,00"
65,1985,2-sobno,"350.000,00"
"139,6",2004,4-sobno,"650.000,00"
"157,1",1900,3-sobno,"564.000,00"
"178,8",1900,4-sobno,"646.000,00"
48,2006,5-sobno,"320.000,00"
"75,8",1981,3-sobno,"390.000,00"
80,1978,3-sobno,"439.000,00"
72,1977,3-sobno,"400.000,00"
"38,6",1963,1-sobno,"250.000,00"
"38,6",1963,1-sobno,"260.000,00"
"148,5",1996,4-sobno,"265.000,00"
157,1996,4-sobno,"265.000,00"
"119,4",2024,3-sobno,"486.585,15"
"31,7",1947,1-sobno,"155.000,00"
"82,7",1956,2-sobno,"320.000,00"
"86,7",1988,4-sobno,"435.000,00"
,,,"429.000,00"
"87,52",1987,3-sobno,"429.000,00"
"99,5",2002,4-sobno,"465.000,00"
"128,5",1973,3-sobno,"509.000,00"
"74,6",1986,5-sobno,"410.000,00"
